"","subject","contrast","sf","target_side","response","unique_id","correct"
"1","S1",0.0694834512228015,0.5,"right","right","544ee9ff-2569-4f38-b04e-7e4d0a0be4d2",1
"2","S1",0.013123728736941,40,"right","left","b27fe910-e3ba-48fb-b168-5afb1f115d8f",0
"3","S1",0.0694834512228015,4.47213595499958,"left","left","72c9d6ce-0a90-4d4b-a199-03435c15291b",1
"4","S1",0.0694834512228015,40,"left","right","48b5bbb2-e6ee-4848-b77e-839ed5320c01",0
"5","S1",0.367879441171442,13.3748060995284,"left","left","32a5cce4-3f8a-4e63-80c1-3fee3230d1bd",1
"6","S1",0.00247875217666636,0.5,"left","right","47ebce53-9d5a-48de-936b-25d5105a0784",0
"7","S1",0.013123728736941,0.5,"right","right","17444af1-8ece-4ea7-a6cc-1606b1306f6b",1
"8","S1",0.0057035489980074,40,"right","left","9591e876-d87b-44ad-a4b6-5e4f61883b3b",0
"9","S1",0.00247875217666636,40,"left","right","835d67f4-e53a-4d68-ae73-8be7a25d2bda",0
"10","S1",0.0694834512228015,4.47213595499958,"right","right","7196f4e8-3318-4510-aade-fdf821945d4d",1
"11","S1",0.013123728736941,4.47213595499958,"right","right","d4bced7c-d30a-43fe-a189-42e12e7ba87b",1
"12","S1",0.0694834512228015,0.5,"left","left","71f11e4d-cb8d-43eb-adde-9e1880e282f7",1
"13","S1",0.013123728736941,4.47213595499958,"right","right","4da34592-4250-41b2-ac41-cba79f77bab9",1
"14","S1",0.367879441171442,13.3748060995284,"left","left","321744ea-f368-4592-b029-96a6a4e5b026",1
"15","S1",0.00247875217666636,0.5,"right","left","08b68658-7227-4b18-97f0-efa5a321daed",0
"16","S1",0.159879746079694,4.47213595499958,"right","right","dafb77eb-65de-4f9b-89a3-a150f0a95f67",1
"17","S1",0.0057035489980074,1.49534878122122,"right","right","08cf08f0-f9f1-4e67-b565-838780b0681d",1
"18","S1",0.159879746079694,1.49534878122122,"right","right","a3cd2c4a-6773-4afc-a867-5eb662421d2c",1
"19","S1",0.367879441171442,40,"left","left","18752bd8-1df5-4ec5-858e-337da3b2840c",1
"20","S1",0.0694834512228015,1.49534878122122,"right","right","55dd3545-fc6d-45e8-b1cd-703f92545a1a",1
"21","S1",0.00247875217666636,40,"left","right","43e426f5-f986-4a26-9462-8d63de965d2c",0
"22","S1",0.159879746079694,0.5,"left","left","d459ee16-3768-4668-9bb6-229f8b16e143",1
"23","S1",0.0057035489980074,4.47213595499958,"right","left","1b9a16fd-1096-48d9-a3b3-b52e8fb01a3d",0
"24","S1",0.0694834512228015,13.3748060995284,"left","left","8d18666f-5347-40a7-a3be-87bf81c9347f",1
"25","S1",0.0057035489980074,13.3748060995284,"right","right","13aecf77-8d64-4177-8fcc-816509520b62",1
"26","S1",0.0694834512228015,4.47213595499958,"left","left","2369ec36-ad77-4f80-809c-9d6686a6c974",1
"27","S1",0.00247875217666636,40,"left","left","4ff0de23-8512-4192-86c6-60773fe4d712",1
"28","S1",0.00247875217666636,4.47213595499958,"left","right","de22314b-16ef-4137-a6f5-130284582157",0
"29","S1",0.013123728736941,4.47213595499958,"left","left","def00235-53b7-429f-976d-d820a423104b",1
"30","S1",0.0694834512228015,40,"left","right","71c88c3f-bc14-4573-b8c0-8314683e8f32",0
"31","S1",0.00247875217666636,13.3748060995284,"left","right","5bd59b87-22ec-4754-94f8-4434f002b14b",0
"32","S1",0.00247875217666636,1.49534878122122,"left","left","37b22814-6be2-4a1a-8f05-95719be8ca25",1
"33","S1",0.013123728736941,13.3748060995284,"left","right","c05a2447-d8e1-430d-a45f-0d2e02ac97aa",0
"34","S1",0.0301973834223185,0.5,"left","left","685f2831-9cc7-458a-81c3-8a460d4f4db3",1
"35","S1",0.013123728736941,13.3748060995284,"right","left","3c7f70e3-7735-4c2a-ab5a-c3e75174e22f",0
"36","S1",0.0057035489980074,1.49534878122122,"left","left","6fce2808-3d50-4f0c-8e2c-7bd0a6056e65",1
"37","S1",0.0057035489980074,1.49534878122122,"right","right","c126b613-0373-4498-ab08-2d4b233ac5c4",1
"38","S1",0.0301973834223185,0.5,"left","right","f03180cb-36a8-4f43-8a90-f6278623d260",0
"39","S1",0.367879441171442,0.5,"right","right","79e6109e-8fb0-44e6-80cc-2269df8e1fbf",1
"40","S1",0.013123728736941,1.49534878122122,"left","right","727b8cf6-8c1a-42a0-98f4-9cddf4e753f8",0
"41","S1",0.0301973834223185,4.47213595499958,"left","left","43421b1c-fba2-4944-af21-7bf76186d585",1
"42","S1",0.0301973834223185,0.5,"right","right","84e2d659-f92b-4132-ba91-658c9b5ffec7",1
"43","S1",0.0057035489980074,40,"right","left","7ec7d482-767f-4085-988c-64005a3cc4c5",0
"44","S1",0.367879441171442,40,"left","left","e76b5aab-de3c-491f-bd89-8a75d691edf2",1
"45","S1",0.367879441171442,40,"left","left","ffe75f87-0a6f-4a19-a7ba-bc7c141720b9",1
"46","S1",0.013123728736941,13.3748060995284,"left","right","1e38695e-9947-4405-bf4f-cf2557b51256",0
"47","S1",0.367879441171442,1.49534878122122,"right","right","7d09e83e-309a-4832-b3c3-61daf7e57aed",1
"48","S1",0.0694834512228015,40,"left","right","45ad9006-5e7e-4cf2-9013-319fd3ab916e",0
"49","S1",0.00247875217666636,4.47213595499958,"left","left","ded22617-c899-41f3-9358-dce06e1ffadc",1
"50","S1",0.159879746079694,40,"left","left","c245442f-ca3a-455e-84ba-f8432ec86d1d",1
"51","S1",0.00247875217666636,40,"left","right","b1f487fe-854e-4ef7-bbc9-616fb2d0a7d9",0
"52","S1",0.367879441171442,4.47213595499958,"left","left","20686504-9e0e-4208-b4b5-660402039b82",1
"53","S1",0.367879441171442,1.49534878122122,"right","right","a08e2629-7cba-4b7c-a2ee-f168fffbe5ff",1
"54","S1",0.0057035489980074,40,"right","left","2a422e1a-2ce4-44c4-994d-0b2affed5769",0
"55","S1",0.013123728736941,4.47213595499958,"left","right","2f4d3657-9329-43f1-b4ff-5c291760359a",0
"56","S1",0.0057035489980074,13.3748060995284,"right","right","3597a503-a4e9-4ebf-8beb-c1bafb8abe20",1
"57","S1",0.013123728736941,13.3748060995284,"left","left","ddea1468-2119-4d17-b7e7-11a8b37a126a",1
"58","S1",0.0301973834223185,40,"left","right","a30d5523-0a76-487a-87f3-6a8c368ee9e3",0
"59","S1",0.0301973834223185,0.5,"right","left","83011727-abca-4532-81c4-7268d99beb9c",0
"60","S1",0.0694834512228015,13.3748060995284,"left","left","4236512a-901b-4dea-b742-64aa3561c01b",1
"61","S1",0.0301973834223185,1.49534878122122,"right","right","4759727a-4616-413c-999b-f4cb6c222ac0",1
"62","S1",0.00247875217666636,0.5,"left","left","9239a66f-4d5b-4d8f-9f2e-9447413cfc82",1
"63","S1",0.0301973834223185,40,"right","left","faab6aba-ba42-4790-88c4-705265adf50f",0
"64","S1",0.00247875217666636,1.49534878122122,"right","left","d2ce3c2e-5232-415c-a844-270f91a60190",0
"65","S1",0.00247875217666636,4.47213595499958,"right","right","14e6cf8c-1c70-4382-8759-93180a70292b",1
"66","S1",0.367879441171442,1.49534878122122,"right","right","84416f28-7e4f-40fd-8437-8e2c22b9a0d4",1
"67","S1",0.367879441171442,40,"left","left","5fd173dd-5a32-4bfa-baf8-160cdbaf3990",1
"68","S1",0.159879746079694,4.47213595499958,"right","right","afc2c906-e34c-4a99-9254-d8c81c1cd773",1
"69","S1",0.367879441171442,1.49534878122122,"left","left","3db27371-b5cf-4e17-b9da-b17f280049d3",1
"70","S1",0.0057035489980074,13.3748060995284,"right","right","db51b810-7d8e-489b-868c-c9941839eabd",1
"71","S1",0.0057035489980074,13.3748060995284,"left","left","e94762e2-8c89-46e9-8792-779b9015f51a",1
"72","S1",0.013123728736941,40,"left","left","4a165d84-37d0-4b75-9711-38fd8e5e9be5",1
"73","S1",0.0057035489980074,0.5,"right","right","9a17710c-35e3-445c-8fb9-a3c747e1c62c",1
"74","S1",0.367879441171442,1.49534878122122,"left","left","34c99c1d-559f-4b99-b213-631e258530ee",1
"75","S1",0.00247875217666636,40,"left","left","b79cc235-0e1a-49de-87c1-272b018f3d25",1
"76","S1",0.013123728736941,13.3748060995284,"left","right","6e9718c5-02aa-4db7-a07f-0b6cb7d2471e",0
"77","S1",0.013123728736941,0.5,"right","right","867fb285-f082-4960-a48c-bcd0f914aadc",1
"78","S1",0.367879441171442,40,"left","left","8d49034c-70f6-4c52-94b2-39203d079ceb",1
"79","S1",0.159879746079694,0.5,"left","left","0f5d4f06-c056-44df-afbe-67f43693fac7",1
"80","S1",0.159879746079694,1.49534878122122,"left","left","3fc70622-30fc-451f-a6a5-d5c88f913032",1
"81","S1",0.367879441171442,1.49534878122122,"left","left","61178b51-2d2e-4b0c-87f8-3b0933f93cd6",1
"82","S1",0.00247875217666636,13.3748060995284,"right","right","a3d5c975-77f8-465d-a1a3-578b51fc30d9",1
"83","S1",0.0057035489980074,13.3748060995284,"right","right","c8e31477-ebb0-4b6a-b97b-28c4e3063b57",1
"84","S1",0.367879441171442,13.3748060995284,"right","right","cee49c34-f3c4-41d1-8ec1-4740d2759e93",1
"85","S1",0.0057035489980074,1.49534878122122,"right","right","5cf3b937-cdb5-44c5-a137-cfb5add780f9",1
"86","S1",0.159879746079694,13.3748060995284,"right","right","44590681-e1c2-4a8d-9c08-8a5142568e8f",1
"87","S1",0.0694834512228015,13.3748060995284,"left","left","a7af70ba-8628-41f4-a58e-327182f15ecf",1
"88","S1",0.367879441171442,4.47213595499958,"right","right","1cb495c1-0d17-4368-ac2a-476912e25b77",1
"89","S1",0.013123728736941,40,"right","right","824cfe13-10a1-4ac3-9a05-eb333ac45b23",1
"90","S1",0.0301973834223185,40,"left","left","ebb30e17-b7e6-4ef5-9760-9375db53ac87",1
"91","S1",0.0694834512228015,0.5,"right","right","d306fac7-dd4f-4459-a942-96e8741f21ce",1
"92","S1",0.00247875217666636,4.47213595499958,"right","left","ed3426f1-bf52-4013-8c4d-ed78c9ac2736",0
"93","S1",0.00247875217666636,1.49534878122122,"right","left","5a54b0ed-13ea-4567-abe9-17c9b3b2b3ec",0
"94","S1",0.00247875217666636,1.49534878122122,"right","right","b79fbd76-5633-4f57-95d0-d47f9bfd11a7",1
"95","S1",0.00247875217666636,4.47213595499958,"left","left","3f91abba-eaf1-43ff-a9d5-6af0ec45f65a",1
